S/N,E-waste Collection Points,Collection Type,Location,Postal Code,Remarks,Website,
115,PAYA LEBAR QUARTER (PLQ),1. Permanent E-bin,"10 PAYA LEBAR ROAD, PAYA LEBAR QUARTER (PLQ), LEVEL 1",409057,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
116,PAYA LEBAR SQUARE,1. Permanent E-bin,"60 PAYA LEBAR RD, PAYA LEBAR SQUARE, LEVEL 2 CARPARK BESIDE OFFICE LIFT LOBBY 1",409051,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
117,PAYA LEBAR ZONE 5 RC,1. Permanent E-bin,"116 HOUGANG AVENUE 1, PAYA LEBAR ZONE 5 RC, #01-1206, VOID DECK",530116,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
118,PINE CLOSE RC,1. Permanent E-bin,"5 PINE CLOSE, #01-141, VOID DECK",391005,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
119,PIONEER MALL,1. Permanent E-bin,"638 JURONG WEST STREET 61, PIONEER MALL, MAIN LOBBY NEAR MACDONALDS",640638,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
120,PIONEER ZONE 12 RN,1. Permanent E-bin,"653A JURONG WEST ST 61, PIONEER ZONE 12 RN, #01-422, VOID DECK",641653,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
121,PIONEER ZONE 9 RN,1. Permanent E-bin,"602 JURONG WEST ST 65, VOID DECK",640602,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
122,POTONG PASIR CC,1. Permanent E-bin,"6 POTONG PASIR AVENUE 2, CONSTITUENCY OFFICE",358361,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
123,PUNGGOL 21 CC,1. Permanent E-bin,"80 PUNGGOL FIELD, PUNGGOL 21 CC, MAIN LOBBY",828815,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
124,PUNGGOL CLOVER RN,1. Permanent E-bin,"204A PUNGGOL FIELD, PUNGGOL CLOVER RN, #01-288, VOID DECK",821204,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
125,PUNGGOL OASIS RC,1. Permanent E-bin,"176C EDGEFIELD PLAINS, PUNGGOL OASIS RC, #01-569, VOID DECK",821175,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
126,PUNGGOL PARC TERRACE RN,1. Permanent E-bin,"312B SUMANG LINK, #01-171",823312,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
127,PUNGGOL VISTA CC,1. Permanent E-bin,"602 PUNGGOL CENTRAL, PUNGGOL VISTA CC, MAIN ENTRANCE",820602,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
128,PUNGGOL WEST CC,1. Permanent E-bin,"259C PUNGGOL FIELD, PUNGGOL WEST CC, VOID DECK",823259,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
